cnpj_basico,razao_social,porte,num_fontes
13347016,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,Grande,5806
10210196,DISTRISUPRI DISTRIBUIDORA E COMERCIO LTDA,ME,7
10492647,"IMPRIMEART- GRAFICA, EDITORA E PAPELARIA LTDA",ME,7
11004446,GRAFICA E EDITORA QUALYTA LTDA,ME,7
11253440,UNIGRAF - UNIDADE INDUSTRIAL GRAFICA LTDA,EPP,7
12693828,TEMPERATURA COMERCIAL DE ALIMENTOS LTDA,EPP,7
12776852,WALVICK LTDA,ME,7
12982965,CASA DO SERRALHEIRO LTDA,ME,7
13865040,STUDIUM COMERCIO E SERVICOS LTDA,ME,7
14689405,MERCADAO DA LIMPEZA COMERCIO E IMPORTACAO DE PRODUTOS DE LIMPEZA LTDA,ME,7
15121216,CUNHA & CORREA LTDA,ME,7
15181901,MULTFLUXO COMERCIO DE MATERIAIS ISOLAMENTOS LTDA,EPP,7
19159789,ELETRON ELETRICIDADE E TELECOMUNICACOES LTDA,EPP,7
19679976,GRAFICA HOLLYDAY LTDA,EPP,7
22894232,OLIVEIRA & BRITO LTDA,Grande,7
22895064,MENDONCA E OLIVEIRA LTDA,EPP,7
23405160,COOPERATIVA AGRO PECUARIA DE PATROCINIO LTDA,Grande,7
24660136,"UNISERVICE - PRESTACAO DE SERVICOS, INDUSTRIA E COMERCIO LTDA",ME,7
24831893,ENTELE TELECOMUNICACOES LTDA,EPP,7
24969149,MULTIGRAFICA IMPRESSAO DIGITAL LTDA,EPP,7
25794827,TELAS UNIAO INDUSTRIA E COMERCIO LTDA,Grande,7
29047505,BOAVENTURA EMPREENDIMENTOS LTDA,EPP,7
29349123,DIMONA SILK E MALHAS LTDA,EPP,7
30072672,GRAFICA FALCAO LTDA,EPP,7
32350027,BRAGAL COMERCIO E SERVICOS LTDA,EPP,7
34274233,VIBRA ENERGIA S.A,Grande,7
37090164,GRAFICA E EDITORA EXECUTIVA LTDA,EPP,7
41224791,CAVALCANTE & DILORENZO LTDA,EPP,7
56131857,AUNIMAQ SOLUCOES PARA ESCRITORIO LTDA,EPP,7
56169626,PROJETELAS INDUSTRIA COMERCIO LTDA,EPP,7
61602199,COMPANHIA ULTRAGAZ S A,Grande,7
63640908,PRB TELECOMUNICACOES LTDA,EPP,7
63646855,GRAFICA E EDITORA RAPHAELA LTDA,Grande,7
71359939,ADMAQ LTDA,EPP,7
72602303,PURISSIMA AGUA MINERAL LTDA,EPP,7
79223871,GR COMERCIO DE PECAS LTDA,EPP,7
80375363,VISO QUADROS TECNICOS E ESCOLARES LTDA,EPP,7
84041011,INDUSTRIA E COMERCIO IORIS LTDA.,EPP,7
84316421,RIO BRANCO AEROTAXI LTDA,EPP,7
84654276,RONDONPRINT COPIADORAS DE RONDONIA LTDA,EPP,7
85004729,MANARIM IMPRESSAO DIGITAL LTDA,EPP,7
89173736,RK MANUTENCAO AR CONDICIONADO LTDA,EPP,7
89848543,LOJAS COLOMBO SA COMERCIO DE UTILIDADES DOMESTICAS,Grande,7
90921263,COLI GRAFICA E EDITORA LTDA,EPP,7
91836494,VALCRON COMERCIO DE FERRAGENS E ACESSORIOS INDUSTRIAIS LTDA.,Grande,7
92690106,FASTENER COMERCIAL DE FERRAGENS E FERRAMENTAS LTDA FALIDO,EPP,7
93264232,MULTIPRESS INDUSTRIA GRAFICA E EDITORA LTDA,EPP,7
